"Relative Time (Process)","ts-bs128 - system/gpu.0.memoryAllocatedBytes","ts-bs128 - system/gpu.0.memoryAllocatedBytes__MIN","ts-bs128 - system/gpu.0.memoryAllocatedBytes__MAX","ts-bs64 - system/gpu.0.memoryAllocatedBytes","ts-bs64 - system/gpu.0.memoryAllocatedBytes__MIN","ts-bs64 - system/gpu.0.memoryAllocatedBytes__MAX","ts-bs32 - system/gpu.0.memoryAllocatedBytes","ts-bs32 - system/gpu.0.memoryAllocatedBytes__MIN","ts-bs32 - system/gpu.0.memoryAllocatedBytes__MAX","ts-bs256 - system/gpu.0.memoryAllocatedBytes","ts-bs256 - system/gpu.0.memoryAllocatedBytes__MIN","ts-bs256 - system/gpu.0.memoryAllocatedBytes__MAX","ts-bs16 - system/gpu.0.memoryAllocatedBytes","ts-bs16 - system/gpu.0.memoryAllocatedBytes__MIN","ts-bs16 - system/gpu.0.memoryAllocatedBytes__MAX","ts-bs512 - system/gpu.0.memoryAllocatedBytes","ts-bs512 - system/gpu.0.memoryAllocatedBytes__MIN","ts-bs512 - system/gpu.0.memoryAllocatedBytes__MAX","ts-bs8 - system/gpu.0.memoryAllocatedBytes","ts-bs8 - system/gpu.0.memoryAllocatedBytes__MIN","ts-bs8 - system/gpu.0.memoryAllocatedBytes__MAX","ts-bs768 - system/gpu.0.memoryAllocatedBytes","ts-bs768 - system/gpu.0.memoryAllocatedBytes__MIN","ts-bs768 - system/gpu.0.memoryAllocatedBytes__MAX","ts-bs4 - system/gpu.0.memoryAllocatedBytes","ts-bs4 - system/gpu.0.memoryAllocatedBytes__MIN","ts-bs4 - system/gpu.0.memoryAllocatedBytes__MAX","ts-bs2 - system/gpu.0.memoryAllocatedBytes","ts-bs2 - system/gpu.0.memoryAllocatedBytes__MIN","ts-bs2 - system/gpu.0.memoryAllocatedBytes__MAX","ts-bs1 - system/gpu.0.memoryAllocatedBytes","ts-bs1 - system/gpu.0.memoryAllocatedBytes__MIN","ts-bs1 - system/gpu.0.memoryAllocatedBytes__MAX"
"120.207689","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2217803776","2217803776","2217803776"
"120.220882","","","","","","","","","","","","","3859873792","3859873792","3859873792","","","","","","","","","","","","","","","","","",""
"120.309629","21532573696","21532573696","21532573696","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"120.335531","","","","","","","","","","","","","","","","","","","2538668032","2538668032","2538668032","","","","","","","","","","","",""
"120.411701","","","","","","","","","","","","","","","","","","","","","","","","","2205220864","2205220864","2205220864","","","","","",""
"120.414431","","","","","","","","","","","","","","","","82991710208","82991710208","82991710208","","","","","","","","","","","","","","",""
"133.086136","","","","","","","6506479616","6506479616","6506479616","","","","","","","","","","","","","","","","","","","","","","","",""
"135.146061","","","","11279597568","11279597568","11279597568","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"135.166205","","","","","","","","","","","","","","","","","","","","","","","","","","","","2234580992","2234580992","2234580992","","",""
"135.168929","","","","","","","","","","42017554432","42017554432","42017554432","","","","","","","","","","","","","","","","","","","","",""
"135.17368","","","","","","","","","","","","","","","","","","","","","","116443381760","116443381760","116443381760","","","","","","","","",""
"135.208184","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2217803776","2217803776","2217803776"
"135.220382","","","","","","","","","","","","","3859873792","3859873792","3859873792","","","","","","","","","","","","","","","","","",""
"135.309496","21532573696","21532573696","21532573696","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"135.335769","","","","","","","","","","","","","","","","","","","2538668032","2538668032","2538668032","","","","","","","","","","","",""
"135.413223","","","","","","","","","","","","","","","","","","","","","","","","","2205220864","2205220864","2205220864","","","","","",""
"135.413904","","","","","","","","","","","","","","","","82991710208","82991710208","82991710208","","","","","","","","","","","","","","",""
"148.08652","","","","","","","6506479616","6506479616","6506479616","","","","","","","","","","","","","","","","","","","","","","","",""
"150.146357","","","","11279597568","11279597568","11279597568","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"150.165845","","","","","","","","","","","","","","","","","","","","","","","","","","","","2234580992","2234580992","2234580992","","",""
"150.174682","","","","","","","","","","42017554432","42017554432","42017554432","","","","","","","","","","","","","","","","","","","","",""
"150.174953","","","","","","","","","","","","","","","","","","","","","","116443381760","116443381760","116443381760","","","","","","","","",""
"150.20752","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2217803776","2217803776","2217803776"
"150.221544","","","","","","","","","","","","","3859873792","3859873792","3859873792","","","","","","","","","","","","","","","","","",""
"150.313485","21532573696","21532573696","21532573696","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"150.335419","","","","","","","","","","","","","","","","","","","2538668032","2538668032","2538668032","","","","","","","","","","","",""
"150.41162","","","","","","","","","","","","","","","","","","","","","","","","","2205220864","2205220864","2205220864","","","","","",""
"150.414095","","","","","","","","","","","","","","","","82991710208","82991710208","82991710208","","","","","","","","","","","","","","",""
"163.0865","","","","","","","6506479616","6506479616","6506479616","","","","","","","","","","","","","","","","","","","","","","","",""
"165.146208","","","","11279597568","11279597568","11279597568","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"165.166875","","","","","","","","","","","","","","","","","","","","","","","","","","","","2234580992","2234580992","2234580992","","",""
"165.170187","","","","","","","","","","42017554432","42017554432","42017554432","","","","","","","","","","","","","","","","","","","","",""
"165.17344","","","","","","","","","","","","","","","","","","","","","","116443381760","116443381760","116443381760","","","","","","","","",""
"165.208522","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2217803776","2217803776","2217803776"
"165.221742","","","","","","","","","","","","","3859873792","3859873792","3859873792","","","","","","","","","","","","","","","","","",""
"165.309255","21532573696","21532573696","21532573696","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"165.340669","","","","","","","","","","","","","","","","","","","2538668032","2538668032","2538668032","","","","","","","","","","","",""
"165.414262","","","","","","","","","","","","","","","","82991710208","82991710208","82991710208","","","","","","","","","","","","","","",""
"165.5212","","","","","","","","","","","","","","","","","","","","","","","","","2205220864","2205220864","2205220864","","","","","",""
"178.086282","","","","","","","6506479616","6506479616","6506479616","","","","","","","","","","","","","","","","","","","","","","","",""
"180.169396","","","","","","","","","","42017554432","42017554432","42017554432","","","","","","","","","","","","","","","","","","","","",""
"180.177058","","","","","","","","","","","","","","","","","","","","","","116443381760","116443381760","116443381760","","","","","","","","",""
"180.207955","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2217803776","2217803776","2217803776"
"180.21632","","","","","","","","","","","","","","","","","","","","","","","","","","","","2234580992","2234580992","2234580992","","",""
"180.220308","","","","","","","","","","","","","3859873792","3859873792","3859873792","","","","","","","","","","","","","","","","","",""
"180.228175","","","","11279597568","11279597568","11279597568","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"180.318172","21532573696","21532573696","21532573696","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"180.33609","","","","","","","","","","","","","","","","","","","2538668032","2538668032","2538668032","","","","","","","","","","","",""
"180.412107","","","","","","","","","","","","","","","","","","","","","","","","","2205220864","2205220864","2205220864","","","","","",""
"180.415106","","","","","","","","","","","","","","","","82991710208","82991710208","82991710208","","","","","","","","","","","","","","",""
"193.085993","","","","","","","6506479616","6506479616","6506479616","","","","","","","","","","","","","","","","","","","","","","","",""
"195.145664","","","","11279597568","11279597568","11279597568","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"195.166226","","","","","","","","","","","","","","","","","","","","","","","","","","","","2234580992","2234580992","2234580992","","",""
"195.169178","","","","","","","","","","42017554432","42017554432","42017554432","","","","","","","","","","","","","","","","","","","","",""
"195.173679","","","","","","","","","","","","","","","","","","","","","","116443381760","116443381760","116443381760","","","","","","","","",""
"195.208227","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2217803776","2217803776","2217803776"
"195.220886","","","","","","","","","","","","","3859873792","3859873792","3859873792","","","","","","","","","","","","","","","","","",""
"195.309416","21532573696","21532573696","21532573696","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"195.335271","","","","","","","","","","","","","","","","","","","2538668032","2538668032","2538668032","","","","","","","","","","","",""
"195.41402","","","","","","","","","","","","","","","","","","","","","","","","","2205220864","2205220864","2205220864","","","","","",""
"195.414301","","","","","","","","","","","","","","","","82991710208","82991710208","82991710208","","","","","","","","","","","","","","",""
"208.087097","","","","","","","6506479616","6506479616","6506479616","","","","","","","","","","","","","","","","","","","","","","","",""
"210.147725","","","","11279597568","11279597568","11279597568","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"210.166698","","","","","","","","","","","","","","","","","","","","","","","","","","","","2234580992","2234580992","2234580992","","",""
"210.169304","","","","","","","","","","42017554432","42017554432","42017554432","","","","","","","","","","","","","","","","","","","","",""
"210.173099","","","","","","","","","","","","","","","","","","","","","","116443381760","116443381760","116443381760","","","","","","","","",""
"210.208504","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2217803776","2217803776","2217803776"
"210.220765","","","","","","","","","","","","","3859873792","3859873792","3859873792","","","","","","","","","","","","","","","","","",""
"210.309684","21532573696","21532573696","21532573696","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"210.335692","","","","","","","","","","","","","","","","","","","2538668032","2538668032","2538668032","","","","","","","","","","","",""
"210.414027","","","","","","","","","","","","","","","","82991710208","82991710208","82991710208","","","","","","","","","","","","","","",""
"210.419651","","","","","","","","","","","","","","","","","","","","","","","","","2205220864","2205220864","2205220864","","","","","",""
"223.118412","","","","","","","6506479616","6506479616","6506479616","","","","","","","","","","","","","","","","","","","","","","","",""
"225.14628","","","","11279597568","11279597568","11279597568","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"225.166697","","","","","","","","","","","","","","","","","","","","","","","","","","","","2234580992","2234580992","2234580992","","",""
"225.168418","","","","","","","","","","42017554432","42017554432","42017554432","","","","","","","","","","","","","","","","","","","","",""
"225.173291","","","","","","","","","","","","","","","","","","","","","","116443381760","116443381760","116443381760","","","","","","","","",""
"225.220396","","","","","","","","","","","","","3859873792","3859873792","3859873792","","","","","","","","","","","","","","","","","",""
"225.30982","21532573696","21532573696","21532573696","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"225.33652","","","","","","","","","","","","","","","","","","","2538668032","2538668032","2538668032","","","","","","","","","","","",""
"225.410813","","","","","","","","","","","","","","","","","","","","","","","","","2205220864","2205220864","2205220864","","","","","",""
"225.414552","","","","","","","","","","","","","","","","82991710208","82991710208","82991710208","","","","","","","","","","","","","","",""
"225.493988","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2217803776","2217803776","2217803776"
"238.086702","","","","","","","6506479616","6506479616","6506479616","","","","","","","","","","","","","","","","","","","","","","","",""
"240.145568","","","","11279597568","11279597568","11279597568","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"240.16824","","","","","","","","","","42017554432","42017554432","42017554432","","","","","","","","","","","","","","","","","","","","",""
"240.173863","","","","","","","","","","","","","","","","","","","","","","116443381760","116443381760","116443381760","","","","","","","","",""
"240.208354","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2217803776","2217803776","2217803776"
"240.219636","","","","","","","","","","","","","","","","","","","","","","","","","","","","2234580992","2234580992","2234580992","","",""
"240.220763","","","","","","","","","","","","","3859873792","3859873792","3859873792","","","","","","","","","","","","","","","","","",""
"240.310099","21532573696","21532573696","21532573696","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"240.335466","","","","","","","","","","","","","","","","","","","2538668032","2538668032","2538668032","","","","","","","","","","","",""
"240.413094","","","","","","","","","","","","","","","","","","","","","","","","","2205220864","2205220864","2205220864","","","","","",""
"240.414027","","","","","","","","","","","","","","","","82991710208","82991710208","82991710208","","","","","","","","","","","","","","",""
"253.086797","","","","","","","6506479616","6506479616","6506479616","","","","","","","","","","","","","","","","","","","","","","","",""
"255.146655","","","","11279597568","11279597568","11279597568","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"255.166281","","","","","","","","","","","","","","","","","","","","","","","","","","","","2234580992","2234580992","2234580992","","",""
"255.169517","","","","","","","","","","42017554432","42017554432","42017554432","","","","","","","","","","","","","","","","","","","","",""
"255.174031","","","","","","","","","","","","","","","","","","","","","","116443381760","116443381760","116443381760","","","","","","","","",""
"255.208185","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2217803776","2217803776","2217803776"
"255.220496","","","","","","","","","","","","","3859873792","3859873792","3859873792","","","","","","","","","","","","","","","","","",""
"255.309757","21532573696","21532573696","21532573696","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"255.336087","","","","","","","","","","","","","","","","","","","2538668032","2538668032","2538668032","","","","","","","","","","","",""
"255.411306","","","","","","","","","","","","","","","","","","","","","","","","","2205220864","2205220864","2205220864","","","","","",""
"255.414288","","","","","","","","","","","","","","","","82991710208","82991710208","82991710208","","","","","","","","","","","","","","",""
"268.08652","","","","","","","6506479616","6506479616","6506479616","","","","","","","","","","","","","","","","","","","","","","","",""
"270.149749","","","","11279597568","11279597568","11279597568","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"270.169239","","","","","","","","","","42017554432","42017554432","42017554432","","","","","","","","","","","","","","","","","","","","",""
"270.172932","","","","","","","","","","","","","","","","","","","","","","116443381760","116443381760","116443381760","","","","","","","","",""
"270.207844","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2217803776","2217803776","2217803776"
"270.216226","","","","","","","","","","","","","","","","","","","","","","","","","","","","2234580992","2234580992","2234580992","","",""
"270.219937","","","","","","","","","","","","","3859873792","3859873792","3859873792","","","","","","","","","","","","","","","","","",""
"270.309716","21532573696","21532573696","21532573696","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"270.335648","","","","","","","","","","","","","","","","","","","2538668032","2538668032","2538668032","","","","","","","","","","","",""
"270.413824","","","","","","","","","","","","","","","","82991710208","82991710208","82991710208","","","","","","","","","","","","","","",""
"270.419201","","","","","","","","","","","","","","","","","","","","","","","","","2205220864","2205220864","2205220864","","","","","",""
"283.086457","","","","","","","6506479616","6506479616","6506479616","","","","","","","","","","","","","","","","","","","","","","","",""
"285.145465","","","","11279597568","11279597568","11279597568","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"285.166579","","","","","","","","","","","","","","","","","","","","","","","","","","","","2234580992","2234580992","2234580992","","",""
"285.169104","","","","","","","","","","42017554432","42017554432","42017554432","","","","","","","","","","","","","","","","","","","","",""
"285.173641","","","","","","","","","","","","","","","","","","","","","","116443381760","116443381760","116443381760","","","","","","","","",""
"285.207998","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2217803776","2217803776","2217803776"
"285.256632","","","","","","","","","","","","","3859873792","3859873792","3859873792","","","","","","","","","","","","","","","","","",""
"285.309614","21532573696","21532573696","21532573696","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"285.335471","","","","","","","","","","","","","","","","","","","2538668032","2538668032","2538668032","","","","","","","","","","","",""
"285.411914","","","","","","","","","","","","","","","","","","","","","","","","","2205220864","2205220864","2205220864","","","","","",""
"285.414617","","","","","","","","","","","","","","","","82991710208","82991710208","82991710208","","","","","","","","","","","","","","",""
"298.085945","","","","","","","6506479616","6506479616","6506479616","","","","","","","","","","","","","","","","","","","","","","","",""
"300.146014","","","","11279597568","11279597568","11279597568","","","","","","","","","","","","","","","","","","","","","","","","","","",""
